,Digitizer,yyyyjjj,Latitude,LatSTD,dates
299,92B7,2019032,28.573469444444445,1.314641643848876e-06,2019-02-01
303,92B7,2019033,28.573469444444445,1.3795469131518647e-06,2019-02-02
307,92B7,2019034,28.573469444444445,1.3884322423044467e-06,2019-02-03
311,92B7,2019035,28.57347222222222,1.388475712998811e-06,2019-02-04
315,92B7,2019036,28.573469444444445,1.388475712998811e-06,2019-02-05
318,92B7,2019037,28.573469444444445,2.5288603590996055e-06,2019-02-06
321,92B7,2019038,28.573475,1.1538461538358735e-05,2019-02-07
324,92B7,2019039,28.573466666666665,1.5528249844264026e-05,2019-02-08
329,92B7,2019041,28.573458333333335,7.105427357601002e-15,2019-02-10
332,92B7,2019042,28.573458333333335,1.349894741451205e-06,2019-02-11
335,92B7,2019043,28.57346111111111,1.1124400662548585e-05,2019-02-12
338,92B7,2019044,28.573483333333332,0.0,2019-02-13
343,92B7,2019045,28.573483333333332,1.1413328189044372e-05,2019-02-14
348,92B7,2019046,28.573486111111112,1.0481510955066948e-05,2019-02-15
353,92B7,2019047,28.573486111111112,6.5461320268617525e-06,2019-02-16
358,92B7,2019048,28.573486111111112,6.064852552450579e-06,2019-02-17
363,92B7,2019049,28.573486111111112,5.992963161184267e-06,2019-02-18
368,92B7,2019050,28.573483333333332,6.403862180857237e-06,2019-02-19
373,92B7,2019051,28.57347222222222,7.197215713369633e-06,2019-02-20
377,92B7,2019052,28.57347222222222,7.552715708764759e-06,2019-02-21
382,92B7,2019053,28.57347222222222,9.184366749423623e-06,2019-02-22
387,92B7,2019054,28.57347222222222,1.1294416589652439e-05,2019-02-23
392,92B7,2019055,28.57347222222222,1.4268412021927132e-05,2019-02-24
397,92B7,2019056,28.573486111111112,1.3640158681461296e-05,2019-02-25
402,92B7,2019057,28.573469444444445,1.2389682799177492e-05,2019-02-26
407,92B7,2019058,28.573469444444445,1.2169151372972643e-05,2019-02-27
412,92B7,2019059,28.57347777777778,1.0784519464442194e-05,2019-02-28
417,92B7,2019060,28.57347222222222,1.0481706829992524e-05,2019-03-01
422,92B7,2019061,28.57347222222222,1.124047221765882e-05,2019-03-02
427,92B7,2019062,28.573486111111112,1.0482777621872324e-05,2019-03-03
432,92B7,2019063,28.573486111111112,1.1101869438711541e-05,2019-03-04
437,92B7,2019064,28.573486111111112,1.0849871429756005e-05,2019-03-05
442,92B7,2019065,28.573486111111112,8.921011354398985e-06,2019-03-06
447,92B7,2019066,28.573486111111112,9.29202147545318e-06,2019-03-07
452,92B7,2019067,28.573469444444445,9.712090019683888e-06,2019-03-08
457,92B7,2019068,28.573469444444445,7.268183152502667e-06,2019-03-09
462,92B7,2019069,28.573475,7.2849110925722575e-06,2019-03-10
467,92B7,2019070,28.573483333333332,4.9581829630871135e-06,2019-03-11
472,92B7,2019071,28.573483333333332,6.977220321709469e-06,2019-03-12
477,92B7,2019072,28.573486111111112,6.052784458898204e-06,2019-03-13
482,92B7,2019073,28.5734875,6.836271553184068e-06,2019-03-14
487,92B7,2019074,28.573491666666666,7.046716848667336e-06,2019-03-15
492,92B7,2019075,28.573491666666666,8.411796508724275e-06,2019-03-16
497,92B7,2019076,28.573491666666666,9.2414348493756e-06,2019-03-17
502,92B7,2019077,28.573491666666666,4.6368832070007625e-06,2019-03-18
507,92B7,2019078,28.573483333333332,0.0,2019-03-19
512,92B7,2019079,28.573483333333332,3.552713678800501e-15,2019-03-20
517,92B7,2019080,28.573483333333332,0.0,2019-03-21
522,92B7,2019081,28.57347777777778,6.904057445273427e-06,2019-03-22
527,92B7,2019082,28.57347777777778,6.786773836092885e-06,2019-03-23
532,92B7,2019083,28.57347777777778,6.804138174623591e-06,2019-03-24
537,92B7,2019084,28.57347777777778,4.397860255226459e-06,2019-03-25
542,92B7,2019085,28.573473611111112,4.166666666804986e-06,2019-03-26
547,92B7,2019086,28.57347777777778,8.136733266641576e-06,2019-03-27
552,92B7,2019087,28.57347777777778,9.026090381208858e-06,2019-03-28
557,92B7,2019088,28.57347777777778,7.348626914477388e-06,2019-03-29
562,92B7,2019089,28.57347777777778,5.403182313442811e-06,2019-03-30
566,92B7,2019090,28.57347777777778,6.0182487846653395e-06,2019-03-31
571,92B7,2019091,28.57347777777778,6.852107204719332e-06,2019-04-01
576,92B7,2019092,28.57347777777778,7.668588361615506e-06,2019-04-02
581,92B7,2019093,28.573480555555555,1.2840253250389188e-05,2019-04-03
586,92B7,2019094,28.573483333333332,1.497917440790828e-05,2019-04-04
591,92B7,2019095,28.573483333333332,1.640358150758981e-05,2019-04-05
596,92B7,2019096,28.573483333333332,1.459352083557882e-05,2019-04-06
601,92B7,2019097,28.573494444444446,1.5282887515877136e-05,2019-04-07
605,92B7,2019098,28.57348888888889,1.5375462322106116e-05,2019-04-08
609,92B7,2019099,28.573491666666666,1.142555074703155e-05,2019-04-09
614,92B7,2019100,28.573491666666666,1.1246862284891773e-05,2019-04-10
619,92B7,2019101,28.573483333333332,1.1943550784758721e-05,2019-04-11
623,92B7,2019102,28.573483333333332,9.875312826995862e-06,2019-04-12
627,92B7,2019103,28.573483333333332,8.808620015584824e-06,2019-04-13
632,92B7,2019104,28.573483333333332,9.21106606591802e-06,2019-04-14
637,92B7,2019105,28.573483333333332,1.015225749080006e-05,2019-04-15
642,92B7,2019106,28.573483333333332,9.147710560017513e-06,2019-04-16
647,92B7,2019107,28.573483333333332,7.215089048856216e-06,2019-04-17
652,92B7,2019108,28.573483333333332,5.659835315632775e-06,2019-04-18
657,92B7,2019109,28.573483333333332,5.175227660850521e-06,2019-04-19
670,92B7,2019112,28.573463888888888,7.105427357601002e-15,2019-04-22
675,92B7,2019113,28.573463888888888,3.552713678800501e-15,2019-04-23
680,92B7,2019114,28.57346111111111,7.748855809569673e-06,2019-04-24
685,92B7,2019115,28.573469444444445,1.1326776955551779e-05,2019-04-25
690,92B7,2019116,28.573483333333332,1.92778954060683e-05,2019-04-26
695,92B7,2019117,28.57346111111111,1.5270241900308345e-05,2019-04-27
700,92B7,2019118,28.57347222222222,1.1111111110295724e-05,2019-04-28
705,92B7,2019119,28.573483333333332,1.1297752157513011e-05,2019-04-29
710,92B7,2019120,28.573483333333332,1.0842258652107223e-05,2019-04-30
715,92B7,2019121,28.573483333333332,1.0029323832274498e-05,2019-05-01
719,92B7,2019122,28.573480555555555,1.262674276521148e-05,2019-05-02
724,92B7,2019123,28.573480555555555,1.5941791456054867e-05,2019-05-03
729,92B7,2019124,28.573480555555555,1.2038940712580182e-05,2019-05-04
734,92B7,2019125,28.573480555555555,1.3844282303578082e-05,2019-05-05
739,92B7,2019126,28.573486111111112,1.5298378194681953e-05,2019-05-06
744,92B7,2019127,28.573486111111112,1.3132228850995092e-05,2019-05-07
749,92B7,2019128,28.573486111111112,1.2195910660585534e-05,2019-05-08
754,92B7,2019129,28.573486111111112,1.2470971437496804e-05,2019-05-09
759,92B7,2019130,28.573469444444445,1.3838873651122126e-05,2019-05-10
764,92B7,2019131,28.573469444444445,1.3380626727826094e-05,2019-05-11
769,92B7,2019132,28.573469444444445,1.4022487704678711e-05,2019-05-12
774,92B7,2019133,28.573475,1.3744459775929993e-05,2019-05-13
779,92B7,2019134,28.573469444444445,1.477842178237648e-05,2019-05-14
783,92B7,2019135,28.573469444444445,1.3623036634876898e-05,2019-05-15
787,92B7,2019136,28.573475,1.2999690087188806e-05,2019-05-16
791,92B7,2019137,28.57347777777778,1.0562853837132611e-05,2019-05-17
795,92B7,2019138,28.573479166666665,1.0354210913781814e-05,2019-05-18
799,92B7,2019139,28.573480555555555,1.4618147275871038e-05,2019-05-19
803,92B7,2019140,28.573484722222222,9.736370202837711e-06,2019-05-20
807,92B7,2019141,28.573480555555555,6.124095140253636e-06,2019-05-21
811,92B7,2019142,28.573480555555555,3.928371006722338e-06,2019-05-22
815,92B7,2019143,28.573480555555555,0.0,2019-05-23
819,92B7,2019144,28.573480555555555,0.0,2019-05-24
823,92B7,2019145,28.573480555555555,1.319330221145453e-06,2019-05-25
827,92B7,2019146,28.573480555555555,1.3438754220113074e-06,2019-05-26
831,92B7,2019147,28.573480555555555,2.2222222227696874e-06,2019-05-27
835,92B7,2019148,28.573480555555555,4.422176346651023e-06,2019-05-28
839,92B7,2019149,28.573480555555555,1.0646012058121607e-05,2019-05-29
843,92B7,2019150,28.573480555555555,1.1943377604505827e-05,2019-05-30
847,92B7,2019151,28.573480555555555,8.17456912262565e-06,2019-05-31
851,92B7,2019152,28.573480555555555,6.431558800643968e-06,2019-06-01
855,92B7,2019153,28.573480555555555,5.895211651677787e-06,2019-06-02
859,92B7,2019154,28.573480555555555,5.498573991878636e-06,2019-06-03
863,92B7,2019155,28.573480555555555,0.0,2019-06-04
867,92B7,2019156,28.573480555555555,3.552713678800501e-15,2019-06-05
880,92B7,2019160,28.573454166666664,1.3888888883428763e-06,2019-06-09
884,92B7,2019161,28.573455555555554,4.133626855311959e-06,2019-06-10
888,92B7,2019162,28.57346111111111,4.517309045122619e-06,2019-06-11
892,92B7,2019163,28.57346111111111,4.536092115932264e-06,2019-06-12
913,92B7,2019177,28.573444444444444,0.0,2019-06-26
916,92B7,2019178,28.573444444444444,0.0,2019-06-27
919,92B7,2019179,28.573440277777777,2.0833333334024928e-05,2019-06-28
922,92B7,2019180,28.57346111111111,2.0831745609041943e-05,2019-06-29
925,92B7,2019181,28.57346111111111,2.083174560904194e-05,2019-06-30
928,92B7,2019182,28.573463888888888,2.2085614061031552e-05,2019-07-01
931,92B7,2019183,28.573463888888888,2.1432464631609314e-05,2019-07-02
934,92B7,2019184,28.573463888888888,1.9874300442427196e-05,2019-07-03
937,92B7,2019185,28.573463888888888,7.553150141619152e-06,2019-07-04
940,92B7,2019186,28.573463888888888,7.296817126250559e-06,2019-07-05
943,92B7,2019187,28.573463888888888,7.239501490695284e-06,2019-07-06
946,92B7,2019188,28.57347777777778,1.8762819881615037e-05,2019-07-07
949,92B7,2019189,28.57347777777778,1.862111497394868e-05,2019-07-08
952,92B7,2019190,28.57347777777778,1.7422513754265547e-05,2019-07-09
955,92B7,2019191,28.57347777777778,1.4600423478374997e-05,2019-07-10
958,92B7,2019192,28.57347777777778,1.285626477324288e-05,2019-07-11
961,92B7,2019193,28.57347777777778,1.0714018875698033e-05,2019-07-12
964,92B7,2019194,28.57347777777778,1.5453799591148056e-05,2019-07-13
967,92B7,2019195,28.57347222222222,1.5924053366978953e-05,2019-07-14
970,92B7,2019196,28.573466666666665,1.6164104850025844e-05,2019-07-15
974,92B7,2019197,28.573466666666665,1.237209923911664e-05,2019-07-16
979,92B7,2019198,28.573466666666665,9.122163845410826e-06,2019-07-17
984,92B7,2019199,28.573466666666665,7.165711510099728e-06,2019-07-18
989,92B7,2019200,28.573466666666665,7.737191726592897e-06,2019-07-19
994,92B7,2019201,28.573473611111112,6.944444445267094e-06,2019-07-20
999,92B7,2019202,28.573480555555555,6.7570035481687785e-06,2019-07-21
1004,92B7,2019203,28.573480555555555,0.0,2019-07-22
1009,92B7,2019204,28.573480555555555,1.4210854715202004e-14,2019-07-23
1015,92B7,2019205,28.573480555555555,0.0,2019-07-24
1021,92B7,2019206,28.573480555555555,0.0,2019-07-25
1027,92B7,2019207,28.573480555555555,3.552713678800501e-15,2019-07-26
1038,92B7,2019209,28.573480555555555,3.582295386649084e-05,2019-07-28
1044,92B7,2019210,28.573475,3.1936613382420004e-05,2019-07-29
1050,92B7,2019211,28.573475,3.455550059352171e-05,2019-07-30
1056,92B7,2019212,28.573475,2.7453912456561317e-05,2019-07-31
