,filename,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed
118,20221202.100hz.100hz_Sensors_1Sec44.pkl,2022-07-28 20:00:01.000000,2022-07-10 02:18:59.490000,6.32,14406,1376257,1.0,3,1.0,False
119,20221202.100hz.100hz_Sensors_1Sec45.pkl,2022-07-29 00:00:01.000000,2022-07-10 20:57:30.730000,20.96,14403,1376257,1.0,3,1.0,False
120,20221202.100hz.100hz_Sensors_1Sec46.pkl,2022-07-29 04:00:01.000000,2022-07-11 17:20:51.490000,13.35,14407,812832,1.0,2,0.0,False
121,20221202.100hz.100hz_Sensors_1Sec47.pkl,2022-07-29 08:00:01.000000,2022-07-29 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
122,20221202.100hz.100hz_Sensors_1Sec48.pkl,2022-07-29 12:00:01.000000,2022-07-29 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
123,20221202.100hz.100hz_Sensors_1Sec49.pkl,2022-07-29 16:00:01.000000,2022-07-13 18:14:40.330000,2.24,14402,719101644,1.0,14402,1.0,False
124,20221202.100hz.100hz_Sensors_1Sec5.pkl,2022-07-22 08:00:01.000000,2022-07-22 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
125,20221202.100hz.100hz_Sensors_1Sec50.pkl,2022-07-29 20:00:01.000000,2022-07-14 22:43:01.570000,2.72,14406,729337252,1.0,14406,2.33333333333,False
126,20221202.100hz.100hz_Sensors_1Sec51.pkl,2022-07-30 00:00:01.000000,2022-07-30 04:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
127,20221202.100hz.100hz_Sensors_1Sec52.pkl,2022-07-30 04:00:01.000000,2022-07-30 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
128,20221202.100hz.100hz_Sensors_1Sec53.pkl,2022-07-30 08:00:01.000000,2022-07-17 11:48:39.850000,3.81,14407,751287760,1.0,14407,2.66666666667,False
129,20221202.100hz.100hz_Sensors_1Sec54.pkl,2022-07-30 12:00:01.000000,2022-07-18 06:27:10.810000,18.45,14407,1376257,1.0,3,1.0,False
130,20221202.100hz.100hz_Sensors_1Sec55.pkl,2022-07-30 16:00:01.000000,2022-07-30 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
131,20221202.100hz.100hz_Sensors_1Sec56.pkl,2022-07-30 20:00:01.000000,2022-07-19 15:56:57.860000,19.95,14403,720897,1.0,2,0.0,False
132,20221202.100hz.100hz_Sensors_1Sec57.pkl,2022-07-31 00:00:01.000000,2022-07-20 17:21:45.410000,17.36,14401,1,1.0,1,0.0,False
133,20221202.100hz.100hz_Sensors_1Sec58.pkl,2022-07-31 04:00:01.000000,2022-07-21 07:38:07.490000,3.64,14404,784272284,1.0,14404,1.66666666667,False
134,20221202.100hz.100hz_Sensors_1Sec59.pkl,2022-07-31 08:00:01.000000,2022-07-31 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
135,20221202.100hz.100hz_Sensors_1Sec6.pkl,2022-07-22 12:00:01.000000,2022-07-22 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
136,20221202.100hz.100hz_Sensors_1Sec60.pkl,2022-07-31 12:00:01.000000,2022-07-31 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
137,20221202.100hz.100hz_Sensors_1Sec61.pkl,2022-07-31 16:00:01.000000,2022-07-31 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
138,20221202.100hz.100hz_Sensors_1Sec62.pkl,2022-07-31 20:00:01.000000,2022-08-01 00:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
