,Fs,Unnamed: 0,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,energy,filetime,id,kurtosis,medianF,noise_level,num_gaps,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,signal_level,skewness,snr,starttime,units
2,75.19,2,-0.0877729220539,-1.66148619215,4.7,1.6,1.0,69951640.7832,1901-03-06T21:36:03.040000Z,MV.MBRY..SHE,3.12,5.6,2541.56162892,0,410.873021159,3.1,5869.96584342,20.38,100.0,5.39,-452.566199661,4592.57579258,0.203160695333,-6.67077088375,-5869.96584342,1119.06251905,1119.06250061,465.199348337,5869.96584342,-0.11,2.30959020495,1901-03-06T21:36:03.040000Z,Counts
3,75.19,3,1.1787860897,-0.541460548854,8.1,1.9,1.0,5840663.82971,1901-03-06T21:36:03.040000Z,MV.MBSS..SHZ,2.74,7.3,765.487997817,0,89.4418376139,3.5,1870.96057769,22.92,100.0,5.11,-136.150662751,1457.8468195,-0.242468210995,0.988652275831,-1870.96057769,323.360153535,323.360062629,142.707957128,1870.96057769,-0.2,2.44414097024,1901-03-06T21:36:03.040000Z,Counts
4,75.19,4,0.492967200245,-0.751460811229,1.9,0.0,1.0,1902714.20096,1901-03-06T21:36:03.040000Z,MV.MBBY..SHZ,0.56,11.1,353.062734158,0,88.2602662914,1.0,973.36637305,6.2,100.0,4.98,-128.018262113,973.36637305,0.0845556054612,-11.830453684,-708.528182784,184.561952929,184.56193356,120.411482929,973.36637305,0.28,2.75692186935,1901-03-06T21:36:03.040000Z,Counts
5,75.19,5,-0.000939910713103,-1.88074500128,5.0,2.0,1.0,34688803.5245,1901-03-06T21:36:03.040000Z,MV.MBBY..SHN,2.78,6.5,1649.49697142,0,294.480803335,3.4,3582.59303142,23.93,100.0,5.34,-346.67781051,3562.30995731,-0.150345543149,-10.8150499769,-3582.59303142,788.043257365,788.043243023,357.102737806,3582.59303142,-0.05,2.17193065128,1901-03-06T21:36:03.040000Z,Counts
6,75.19,6,0.159917698764,-1.97275918542,5.5,2.4,1.0,35673365.1829,1901-03-06T21:36:03.040000Z,MV.MBBY..SHE,2.58,6.2,2080.51155005,0,300.636109899,3.8,4435.43686611,27.26,100.0,5.34,-340.81989695,3307.47585054,-1.67902880467,-5.73203523682,-4435.43686611,799.14840509,799.146641249,345.458807054,4435.43686611,-0.12,2.13189725671,1901-03-06T21:36:03.040000Z,Counts
7,75.19,7,0.234692895501,-1.79956749158,5.4,2.4,1.0,11051756.2575,1901-03-06T21:36:03.040000Z,MV.MBGH..SHZ,2.32,6.0,954.779573257,0,168.109019071,3.7,1998.2827912,29.27,100.0,5.22,-199.72367198,1998.2827912,0.0835927669722,0.752127806393,-1849.67415531,444.806419373,444.806411518,186.930196348,1998.2827912,0.24,2.0929257885,1901-03-06T21:36:03.040000Z,Counts
8,75.19,8,-0.848452289242,-2.40593184612,4.3,1.8,1.0,39770880.686,1901-03-06T21:36:03.040000Z,MV.MBGH..SHN,3.03,4.9,1615.76127553,0,356.377251193,3.1,4466.71110885,20.79,100.0,5.35,-374.523505659,4280.46029017,-0.82053765089,-6.08055602001,-4466.71110885,843.797047193,843.796648234,363.959885052,4466.71110885,0.06,2.76446228567,1901-03-06T21:36:03.040000Z,Counts
9,75.19,9,-0.588811568359,-2.25935308907,4.6,1.9,1.0,37134419.0317,1901-03-06T21:36:03.040000Z,MV.MBGH..SHE,2.38,4.9,1890.47634985,0,334.198563896,3.2,3642.14380457,20.77,100.0,5.35,-380.075152562,3448.04333589,0.536473080678,-5.70838780424,-3642.14380457,815.349321427,815.349144936,365.463947789,3642.14380457,0.05,1.92657464605,1901-03-06T21:36:03.040000Z,Counts
10,75.19,10,0.470639297004,-1.29651767809,4.1,1.1,1.0,750001.064721,1901-03-06T21:36:03.040000Z,MV.MBWH..SHZ,1.77,10.5,205.971050301,0,38.3046330361,2.3,592.31505217,21.52,100.0,4.8,-62.2894265971,534.254742939,0.156150062519,-0.505480027765,-592.31505217,115.874090181,115.873984969,60.1191507923,592.31505217,0.08,2.8757199194,1901-03-06T21:36:03.040000Z,Counts
11,75.19,11,0.499847589138,-1.94044685429,30.5,28.9,1.0,2740689.22109,1901-03-06T21:36:03.040000Z,MV.MBGB..SHZ,-0.4,17.1,387.480452114,0,121.088754465,29.7,800.348872435,35.95,100.0,5.12,-158.738058467,645.795012938,-0.106646391688,3.39765607507,-800.348872435,221.505897231,221.505871558,166.439804845,800.348872435,-0.12,2.06552064257,1901-03-06T21:36:03.040000Z,Counts
12,75.19,12,-0.643352095374,-2.9576414394,4.6,0.2,1.0,5247094.96172,1901-03-06T21:36:03.040000Z,MV.MBGB..SHN,1.19,9.6,609.869393473,0,109.836942529,2.6,1330.94204648,31.99,100.0,5.24,-175.653270709,1201.24716021,1.16992346941,4.7037541464,-1330.94204648,306.488976797,306.486743885,189.108358805,1330.94204648,-0.11,2.182339466,1901-03-06T21:36:03.040000Z,Counts
13,75.19,13,-0.820826863415,-2.93841476328,30.5,1.2,1.0,7487460.02423,1901-03-06T21:36:03.040000Z,MV.MBGB..SHE,0.33,14.2,687.908104128,0,154.109906677,29.7,1664.56514083,26.71,100.0,5.23,-243.168818039,1436.97186064,0.919612678856,-0.481231372142,-1664.56514083,366.119327159,366.118172223,249.791827527,1664.56514083,-0.0,2.41974928169,1901-03-06T21:36:03.040000Z,Counts
14,75.19,14,1.16870003696,-0.856949153266,6.1,2.5,1.0,50840752.7973,1901-03-06T21:36:03.040000Z,MV.MBLG..SHZ,3.32,10.0,2194.18259799,0,305.222120966,4.0,5885.30524036,13.66,100.0,5.35,-423.016843581,4984.90816544,1.1855924077,7.81507425306,-5885.30524036,954.028576345,954.027839664,427.781384824,5885.30524036,-0.12,2.68223129914,1901-03-06T21:36:03.040000Z,Counts
0,75.19,0,0.736170717603,-1.11266423067,5.1,2.6,1.0,30592381.2279,1901-03-06T21:46:22.040000Z,MV.MBRY..SHZ,1.65,6.7,1390.18482224,0,256.73234998,3.7,3334.61964913,25.19,100.0,5.37,-335.652109347,3334.61964913,0.479644055822,0.204699507559,-2893.35238189,639.477723636,639.477543756,337.684756447,3334.61964913,0.07,2.39868799873,1901-03-06T21:46:22.040000Z,Counts
1,75.19,1,0.272976969825,-1.74995128615,5.4,2.6,1.0,141522625.813,1901-03-06T21:46:22.040000Z,MV.MBRY..SHN,2.16,5.6,2879.47563761,0,562.848233075,4.0,7834.65725902,29.76,100.0,5.52,-750.045314249,6467.55708666,-1.4609005334,-9.99473974293,-7834.65725902,1375.40854439,1375.40776854,764.139002588,7834.65725902,-0.11,2.720862492,1901-03-06T21:46:22.040000Z,Counts
2,75.19,2,0.412409427456,-1.53123521218,5.6,2.3,1.0,105838970.76,1901-03-06T21:46:22.040000Z,MV.MBRY..SHE,1.51,6.0,2682.56543842,0,457.25336219,3.8,5485.47309974,28.53,100.0,5.51,-634.537301682,5485.47309974,0.275570612764,0.125191784624,-5206.67246261,1189.43738046,1189.43734854,657.291900625,5485.47309974,-0.0,2.04486087131,1901-03-06T21:46:22.040000Z,Counts
3,75.19,3,1.54395918577,-0.397053313218,8.8,2.7,1.0,7315532.89154,1901-03-06T21:46:22.040000Z,MV.MBSS..SHZ,1.12,7.6,684.469686448,0,96.2429423991,5.6,1338.86462496,35.52,100.0,5.15,-171.526651224,1338.86462496,-0.092497272512,-2.45166821223,-1265.00391466,312.70999504,312.70998136,163.732340692,1338.86462496,0.09,1.95606124196,1901-03-06T21:46:22.040000Z,Counts
4,75.19,4,0.479559554868,-0.826144874722,1.9,0.0,1.0,2473290.39723,1901-03-06T21:46:22.040000Z,MV.MBBY..SHZ,0.11,11.2,233.913174294,0,85.9735759867,1.0,689.275537868,41.11,100.0,4.93,-125.90401504,689.275537868,-0.0657689085807,-6.17787765115,-607.89126111,181.826146497,181.826134602,121.153461409,689.275537868,0.17,2.9467153355,1901-03-06T21:46:22.040000Z,Counts
5,75.19,5,0.359663249807,-1.66283936067,5.2,2.7,1.0,50975934.219,1901-03-06T21:46:22.040000Z,MV.MBBY..SHN,2.11,7.2,1693.11904444,0,341.184078374,3.8,3938.34673313,49.91,100.0,5.43,-418.509240124,3807.61355085,0.181418376685,3.47460268032,-3938.34673313,825.470154941,825.470135005,422.993600413,3938.34673313,-0.04,2.32608967814,1901-03-06T21:46:22.040000Z,Counts
6,75.19,6,0.301757901323,-1.84063831939,5.4,2.6,1.0,61607022.0656,1901-03-06T21:46:22.040000Z,MV.MBBY..SHE,2.06,6.4,1782.6230224,0,371.583069828,4.0,5029.56973765,27.62,100.0,5.44,-470.580758551,5029.56973765,-0.334177593028,-5.63795478649,-3905.67060755,907.473365546,907.473304015,472.341192941,5029.56973765,0.07,2.82144327457,1901-03-06T21:46:22.040000Z,Counts
7,75.19,7,0.551795863478,-1.58185838179,5.6,2.7,1.0,17085878.8679,1901-03-06T21:46:22.040000Z,MV.MBGH..SHZ,1.59,6.2,1095.20343867,0,190.138929795,4.0,2182.92119399,30.78,100.0,5.29,-257.058437746,2146.7180725,0.581948841401,2.2182873951,-2182.92119399,477.900451201,477.900096876,254.380978329,2182.92119399,-0.09,1.99316502936,1901-03-06T21:46:22.040000Z,Counts
8,75.19,8,-0.507930583987,-2.18019215598,4.5,2.1,1.0,44688029.7878,1901-03-06T21:46:22.040000Z,MV.MBGH..SHN,1.47,5.3,1626.25375436,0,348.010077178,3.4,3846.29502197,35.5,100.0,5.43,-418.792679554,3846.29502197,1.24515924799,2.64701999975,-3614.59142644,772.884117776,772.883114765,428.374786218,3846.29502197,0.04,2.36512599074,1901-03-06T21:46:22.040000Z,Counts
9,75.19,9,-0.436277099836,-2.32954682157,4.8,2.3,1.0,63480079.6249,1901-03-06T21:46:22.040000Z,MV.MBGH..SHE,1.24,5.0,1629.58120691,0,408.978187814,3.5,3884.73851544,34.94,100.0,5.45,-508.534517413,3884.73851544,1.15811651279,-1.13451376963,-3398.3577034,921.165173944,921.164445935,506.21730763,3884.73851544,-0.0,2.38388765099,1901-03-06T21:46:22.040000Z,Counts
10,75.19,10,0.385965668383,-1.23657339446,5.7,1.1,1.0,659173.291337,1901-03-06T21:46:22.040000Z,MV.MBWH..SHZ,1.77,6.2,189.775318622,0,32.1047912547,3.5,475.563209688,28.37,100.0,4.75,-54.1953737056,444.407003423,-0.07135628906,1.04275208959,-475.563209688,93.8682194716,93.86819235,52.4719577056,475.563209688,0.02,2.50592760503,1901-03-06T21:46:22.040000Z,Counts
11,75.19,11,0.632811911163,-1.86508225732,30.5,28.9,1.0,3888767.23119,1901-03-06T21:46:22.040000Z,MV.MBGB..SHZ,-0.46,16.8,405.639588292,0,122.712296812,29.7,812.665909296,32.38,100.0,5.14,-166.046348397,812.665909296,0.0561946599491,4.78095564423,-754.206355564,227.994700957,227.994694032,170.425341628,812.665909296,-0.05,2.00341863258,1901-03-06T21:46:22.040000Z,Counts
12,75.19,12,-0.483496471311,-2.82933177463,4.8,0.5,1.0,6712549.57009,1901-03-06T21:46:22.040000Z,MV.MBGB..SHN,0.51,9.7,648.517044745,0,112.689727336,3.5,1232.54064458,42.07,100.0,5.25,-182.02980136,1232.54064458,0.0454227156929,1.47778005621,-1100.86623057,299.54531534,299.545311896,185.842498074,1232.54064458,-0.11,1.90055242891,1901-03-06T21:46:22.040000Z,Counts
13,75.19,13,-0.623986286207,-2.73187297183,30.5,28.9,1.0,9388823.96346,1901-03-06T21:46:22.040000Z,MV.MBGB..SHE,-0.14,14.4,627.921372119,0,156.287869532,29.7,1267.65454259,44.98,100.0,5.25,-252.203981117,1173.83723922,0.854953674013,-0.197077549944,-1267.65454259,354.2618426,354.260810952,248.182909886,1267.65454259,0.02,2.01881095129,1901-03-06T21:46:22.040000Z,Counts
14,75.19,14,1.29940711096,-0.849343289159,6.5,2.9,1.0,66993221.2331,1901-03-06T21:46:22.040000Z,MV.MBLG..SHZ,1.94,8.6,1832.09939431,0,342.930830601,4.0,5242.21381894,27.45,100.0,5.44,-496.148801074,4271.30817608,-0.161689789479,16.390649894,-5242.21381894,946.311699132,946.311685318,518.88178628,5242.21381894,-0.21,2.86131518586,1901-03-06T21:46:22.040000Z,Counts
15,75.19,15,1.16854581851,-0.35611602215,2.3,0.0,1.0,67.7820082554,1901-03-06T21:46:22.040000Z,MV.MBLG.E.BDF,0.28,14.2,1.74883279129,0,0.275081820572,1.0,4.37909507144,65.71,100.0,3.04,-0.64371510785,4.37909507144,-0.00070815333889,-0.0185858169221,-3.14342544617,0.951866395922,0.951866132502,0.622262533768,4.37909507144,0.19,2.50401015652,1901-03-06T21:46:22.040000Z,Counts
