,mseed,best_predicted_class,all_predicted_classes,prob_r_mean,prob_r_std,prob_e_mean,prob_e_std,prob_l_mean,prob_l_std,prob_h_mean,prob_h_std,prob_t_mean,prob_t_std,count,MVO_subclass,GT_subclass
333,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-2057-18S.MVO_18_1.mseed,r,['r'],0.855,0.154,0.199,0.128,0.009,0.029,0.03,0.082,0.007,0.026,32,['e'],['r']
334,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0751-38S.MVO_21_1.mseed,h,['h'],0.039,0.077,0.007,0.027,0.115,0.122,0.776,0.134,0.066,0.103,34,['h'],['h']
335,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-06-1948-35S.MVO___019.mseed,h,['h'],0.024,0.041,0.014,0.035,0.181,0.143,0.733,0.097,0.055,0.104,16,['r'],['h']
336,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/03/2001-03-07-0945-40S.MVO___019.mseed,r,['r'],0.764,0.162,0.119,0.111,0.104,0.142,0.072,0.144,0.001,0.003,14,['r'],['r']
337,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-20-0025-56S.MVO___019.mseed,e,['r' 'e'],0.398,0.385,0.708,0.119,0.156,0.133,0.03,0.032,0.062,0.087,16,['e'],['r' 'e']
338,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1930-29S.MVO_18_1.mseed,l,['l'],0.058,0.106,0.058,0.1,0.791,0.144,0.08,0.1,0.042,0.081,34,['l'],['l']
339,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1726-42S.MVO_18_1.mseed,e,['e' 'r'],0.461,0.395,0.716,0.136,0.081,0.107,0.073,0.092,0.028,0.058,34,['e'],['e' 'r']
340,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1009-35S.MVO_21_1.mseed,r,['r'],0.814,0.157,0.121,0.134,0.097,0.136,0.027,0.061,0.0,0.002,34,['r'],['r']
341,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-0456-07S.MVO_18_1.mseed,e,['e' 'r'],0.528,0.411,0.788,0.134,0.021,0.055,0.055,0.098,0.001,0.006,34,['e'],['e' 'r']
342,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-09-1746-17S.MVO_18_1.mseed,e,['e' 'r'],0.552,0.424,0.792,0.145,0.037,0.088,0.014,0.047,0.001,0.004,34,['e'],['e' 'r']
343,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-07-2053-43S.MVO_18_1.mseed,r,['r'],0.863,0.144,0.172,0.135,0.011,0.019,0.024,0.068,0.016,0.065,34,['e'],['r']
344,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-24-2101-27S.MVO_18_1.mseed,e,['e' 'r'],0.447,0.418,0.788,0.145,0.081,0.12,0.069,0.114,0.008,0.019,34,['e'],['e' 'r']
345,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0627-42S.MVO_18_1.mseed,l,['l'],0.084,0.132,0.034,0.078,0.74,0.131,0.126,0.154,0.033,0.069,34,['l'],['l']
346,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-15-1017-05S.MVO_18_1.mseed,h,['h'],0.019,0.038,0.015,0.032,0.069,0.081,0.854,0.12,0.051,0.087,30,['h'],['h']
347,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-04-0634-46S.MVO___018.mseed,l,['l'],0.004,0.013,0.0,0.0,0.75,0.125,0.246,0.128,0.0,0.0,10,['r'],['l']
348,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-2022-27S.MVO_21_2.mseed,h,['h'],0.026,0.057,0.006,0.018,0.159,0.135,0.78,0.138,0.031,0.056,34,['h'],['h']
349,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-03-0508-48S.MVO_18_1.mseed,t,['t'],0.005,0.02,0.005,0.022,0.036,0.066,0.13,0.117,0.826,0.154,34,['h'],['t']
350,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1005-41S.MVO_21_1.mseed,h,['h'],0.008,0.028,0.003,0.01,0.099,0.13,0.865,0.122,0.027,0.058,34,['h'],['h']
351,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-12-0905-06S.MVO_18_1.mseed,h,['h'],0.037,0.078,0.016,0.052,0.083,0.102,0.797,0.136,0.076,0.11,32,['h'],['h']
352,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-2338-06S.MVO_21_1.mseed,t,['t'],0.089,0.129,0.053,0.098,0.105,0.129,0.093,0.121,0.687,0.079,34,['t'],['t']
353,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-08-1316-00S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.0,,0.01,0.014,0.105,0.021,0.885,0.035,2,['t'],['t']
354,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-04-1417-38S.MVO_18_1.mseed,t,['t'],0.11,0.128,0.0,0.0,0.002,0.005,0.058,0.061,0.83,0.065,4,['t'],['t']
355,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1849-18S.MVO_18_1.mseed,l,['l'],0.059,0.093,0.059,0.101,0.754,0.136,0.129,0.129,0.029,0.071,30,['l'],['l']
356,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-18-2346-16S.MVO_18_1.mseed,l,['l'],0.079,0.119,0.059,0.102,0.778,0.114,0.092,0.114,0.021,0.057,32,['l'],['l']
357,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-0255-47S.MVO_21_1.mseed,r,['r'],0.811,0.162,0.168,0.129,0.057,0.102,0.03,0.078,0.018,0.064,34,['e'],['r']
358,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-10-0125-27S.MVO_18_1.mseed,t,['t'],0.049,0.068,0.028,0.058,0.185,0.142,0.079,0.098,0.673,0.088,34,['e'],['t']
359,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0640-00S.MVO_18_1.mseed,h,['h'],0.039,0.095,0.008,0.016,0.198,0.129,0.728,0.124,0.031,0.058,34,['l'],['h']
360,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/11/2000-11-20-0543-20S.MVO___019.mseed,l,['l'],0.099,0.125,0.045,0.075,0.728,0.109,0.134,0.145,0.016,0.035,16,['l'],['l']
361,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2000/03/2000-03-10-0715-20S.MVO___019.mseed,t,['t'],0.018,0.029,0.003,0.008,0.064,0.119,0.149,0.143,0.769,0.167,14,['t'],['t']
362,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-1616-28S.MVO_18_1.mseed,e,['e' 'r'],0.462,0.384,0.718,0.119,0.063,0.085,0.113,0.139,0.003,0.009,34,['e'],['e' 'r']
363,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0535-29S.MVO_21_1.mseed,h,['h'],0.034,0.076,0.044,0.093,0.122,0.111,0.804,0.132,0.018,0.032,34,['h'],['h']
364,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/11/2001-11-27-0912-58S.MVO___015.mseed,e,['r' 'e'],0.434,0.383,0.726,0.091,0.111,0.138,0.087,0.122,0.005,0.009,14,['e'],['r' 'e']
365,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0858-41S.MVO_18_1.mseed,l,['l'],0.037,0.074,0.058,0.103,0.769,0.141,0.105,0.122,0.06,0.109,34,['l'],['l']
366,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-2337-40S.MVO_21_1.mseed,h,['h'],0.056,0.117,0.021,0.058,0.183,0.129,0.717,0.118,0.034,0.066,34,['t'],['h']
367,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-01-0412-32S.MVO_18_1.mseed,t,['t'],0.003,0.017,0.006,0.027,0.011,0.038,0.105,0.132,0.878,0.143,34,['h'],['t']
368,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-24-0708-05S.MVO_21_1.mseed,h,['h'],0.13,0.157,0.088,0.125,0.075,0.107,0.708,0.128,0.043,0.096,34,['h'],['h']
369,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1999/12/9912-15-1055-07S.MVO_19_1.mseed,e,['r' 'e'],0.456,0.438,0.812,0.157,0.053,0.098,0.021,0.032,0.064,0.14,16,['r'],['r' 'e']
370,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1999/12/9912-08-0226-29S.MVO_19_1.mseed,h,['h'],0.065,0.115,0.002,0.005,0.166,0.185,0.74,0.11,0.028,0.051,8,['h'],['h']
