,Date,Age,Miles,Mins,Pace,Mins25,Pace25,Description,Age.1,comments,eq_100m,eq25_100m,eq_200m,eq25_200m,eq_400m,eq25_400m,eq_800m,eq25_800m,eq_1Mi,eq25_1Mi,eq_5k,eq25_5k,eq_5Mi,eq25_5Mi,eq_10k,eq25_10k,eq_15k,eq25_15k,eq_20k,eq25_20k,eq_HMa,eq25_HMa,eq_16.3,eq25_16.3,eq_Mar,eq25_Mar
112,2008-08-17,37,6.215,39.63,6.38,38.02,6.12, Run Lu Lu Run,37.08, 3rd place; behind Simon McLaughlin (2nd) by 19 secs,0.20390540691838951,0.19562158897393817,0.541677705595753,0.5196716216692033,1.2231617890743818,1.1734698768763057,2.609137847708117,2.5031395652248953,5.500017923007655,5.2765753578791585,18.628553188290876,17.87175352558211,31.30050079634088,30.028893269666423,39.63,38.02,,,,,,,,,,
113,2008-09-18,37,26.224,243.47,9.28,229.12,8.74, Equinox Marathon,37.17, ,0.2748351663974328,0.25863651918092495,0.730103652478291,0.6870717084479651,1.648646197821454,1.551475815685101,3.516742617892928,3.3094675673045044,7.413233243313008,6.976300984547897,25.108610863352315,23.628721900075092,42.18857397993548,39.70200053510829,53.41554110278954,50.2672558322222,82.0490573579957,77.21312696374902,109.59172101865644,103.13243980693542,115.45190020722085,108.64722296577993,142.27283999475537,133.88734997986754,243.1273774055861,228.7975714098981
114,2009-03-15,37,7.2,53.32,7.41,50.57,7.02, St Patricks,37.65, 2nd; 7 secs behind Ed Debevec,0.23428301743831367,0.22219977854192652,0.6223762737043455,0.5902769722661056,1.4053871306820551,1.3329037359075682,2.997844427530166,2.84322942048388,6.319404739879065,5.993478951531963,21.403815217169207,20.299905017483997,35.96361609396699,34.10877842970575,45.53403522446281,43.18559942425139,,,,,,,,,,
115,2009-04-11,37,3.108,20.16,6.49,19.22,6.18, Beat Beethoven,37.73, ,0.22062972707407938,0.21034242829185545,0.5861061075027644,0.5587777473315044,1.3234855110974757,1.2617753731792403,2.8231393170897645,2.6915048449635552,5.951129357454452,5.673646143366794,20.15646700022313,19.216631733347647,,,,,,,,,,,,,,
116,2009-06-09,37,4.0,37.73,9.43,35.2,8.8, Masochism on Moose Mtn,37.89, Steep 1.25 miles; 2.75 miles down. I descended in 16:12; a pace of 5:53,0.3135466037439023,0.2925216128222996,0.8329411538425486,0.7770879569376549,1.8808634385408232,1.7547414003879402,4.0120873850882415,3.7430552863797013,8.457411533868033,7.890296474745688,28.645241306372025,26.724423376207145,,,,,,,,,,,,,,
117,2009-06-19,37,6.215,37.78,6.08,36.08,5.81, Midnight Sun Run,37.92, 22nd; right behind women's winner Crystal Pitney,0.19438673412507584,0.1856398456123011,0.5163912116428854,0.49315497395646646,1.1660623868592013,1.1135926659047108,2.4873385790162166,2.37541492670474,5.243267149412798,5.007334006109416,17.758938669029252,16.959833435113165,29.839336868174577,28.49664569094067,37.78,36.08,,,,,,,,,,
118,2009-06-27,37,7.2,52.6,7.31,49.8,6.92, Spruce Tree Classic,37.94, 5th;,0.23111940579998685,0.21881647165093812,0.6139720929641518,0.5812891678633985,1.3864096600501894,1.3126083853707118,2.957363407503502,2.79993721851092,6.2340714425663695,5.9022197307947755,21.11479145579708,19.99081016157214,35.47798586914223,33.589423883712605,44.919172033134735,42.5280374001922,,,,,,,,,,
119,2009-07-02,37,1.0,5.25,5.25,5.05,5.05, Flint Hills Mile,37.96, 8th; just behind Brando,0.19463634506415314,0.18722162715694735,0.5170543067653464,0.4973569998409522,1.167559721174306,1.1230812556057612,2.49053255684246,2.3956551261056047,5.25,5.05,,,,,,,,,,,,,,,,
120,2009-07-12,37,6.75,63.58,9.42,59.25,8.78, Ester Dome Ass Kicker,37.98, Passed Kristen Rozzell and Sam Herreid on the road back,0.2993272699250968,0.2789421318506131,0.7951672848977519,0.7410138664704592,1.7955663095626924,1.6732825391882593,3.830139281815578,3.569294627989509,8.07386804652951,7.524011981076965,27.34618003894963,25.4838182967563,45.948234488979935,42.819013738157615,58.17569963644629,54.213749661205455,,,,,,,,,,
121,2009-07-18,38,8.5,88.72,10.44,82.05,9.65, Chena Hot Springs Run & Soak,38.0, Right behind Kristen,0.32711361464056876,0.30252110100607155,0.868982117372467,0.8036517440307813,1.9622474958424518,1.814725056738877,4.185688478584151,3.8710069845336967,8.82335966747084,8.160016464337042,29.884707134739322,27.637964612323735,50.21357751267979,46.438503549542126,63.57610984486654,58.79643612230951,,,,,,,,,,
122,2009-09-19,38,1.0,5.27,5.27,5.05,5.05, Fast mile during run around Patty center,38.17, ,0.19537781685487374,0.18722162715694735,0.5190240374577858,0.4973569998409522,1.1720075677311605,1.1230812556057612,2.500020299916146,2.3956551261056047,5.27,5.05,,,,,,,,,,,,,,,,
123,2009-07-25,38,1.0,5.17,5.17,4.97,4.97, Golden Mile,38.02, 4th; half a second ahead of Maggie Callahan; first woman,0.19167045790127082,0.184255739994065,0.5091753839955887,0.48947807707119456,1.1497683349468881,1.1052898693783433,2.452581584547718,2.3577041538108627,5.17,4.97,,,,,,,,,,,,,,,,
124,2009-08-08,38,13.112,90.13,6.87,85.5,6.52, Santa Claus Half,38.06, ,0.21455596229200335,0.20353417037574936,0.5699710622324836,0.5406915102726878,1.2870509843748248,1.220934862576806,2.745420487508488,2.6043875699764314,5.787299394990921,5.49000441885858,19.601575141267393,18.594637463423524,32.935414367253195,31.24351412848273,41.69998684260124,39.55784838613565,64.05335491579577,60.76291850993607,85.55512553438011,81.1601379472928,90.13,85.5,,,,
125,2009-08-15,38,6.837,45.3,6.63,43.05,6.3, Run Lu Lu Run,38.08, 2nd; after I had moved from 4th to 1st on the ascent. The flat road at the bottom was just too long.,0.2103597071803896,0.19991137735354902,0.5588236489524466,0.531067507448186,1.2618790235754316,1.1992029131329431,2.6917259425927065,2.5580309454440617,5.674112213384571,5.392285447819112,19.218210311860876,18.26366344206646,32.29126819944076,30.687397262382436,40.88442440810526,38.85374107657685,,,,,,,,,,
126,2009-08-16,38,6.215,45.87,7.38,43.33,6.97, Run for the Refuge,38.08, Caught up to Heather Best and Kristen Rozell; who were running together; about half way,0.23601163298880962,0.22294275250501683,0.6269683662800198,0.5922506935014882,1.4157565295190988,1.3373605935047428,3.01996348913377,2.8527363850919176,6.366031343133008,6.013519470197368,21.561739458665212,20.36778222681412,36.22896723512884,34.222828652673485,45.87,43.33,,,,,,,,,,
127,2009-09-12,38,12.1,80.93,6.69,76.83,6.35, Final leg of Skagway-Whitehorse Klondike Relay,38.15, ,0.20839221162237218,0.19783484021928646,0.5535969681314556,0.5255511560798187,1.2500766617689902,1.1867464466046151,2.666550214282199,2.531459940236023,5.621042209032677,5.336274223649828,19.03846227965238,18.07395350235626,31.989247781192752,30.368638416273807,40.502032150133225,38.45015606196387,62.21323402128974,59.06144532133561,83.09730307785371,78.88750519549612,,,,,,
128,2009-09-18,38,26.224,229.19,8.74,214.2,8.17, Equinox Marathon,38.17, BEST EVER TIME; 39th,0.258715536972225,0.2417944413781168,0.6872816203700641,0.6423304816234029,1.5519498175491808,1.4504457040840983,3.3104786651122526,3.093959291710129,6.978432361419921,6.522013228396296,23.635940870627664,22.090049890869782,39.71413016166842,37.11665727400574,50.282613321346915,46.99391672163929,77.2367168681112,72.18510734826745,103.16394849577307,96.41658784325054,108.68041651329915,101.57225540882533,133.92825480920845,125.16877778320367,228.86747290255997,213.89856754539178
129,2009-10-24,38,6.8,46.05,6.77,43.65,6.42, Cache Creek Warm-up,38.27, 2nd; having been 5th at the half way. 4 minutes behind Stian Stensland though.,0.21508949846593511,0.20387962232438803,0.571388408907667,0.5416092084434238,1.2902514932328535,1.223007115735376,2.7522475228753525,2.6088079125626304,5.801690668687611,5.499322425368387,19.65031836560937,18.62619753873722,33.01731484105334,31.296542732073362,41.80368217315899,39.624988639704455,,,,,,,,,,
130,2009-12-05,38,4.351,47.7,10.96,43.73,10.05, Heart of Darkness Snowshoe,38.38, 7th;,0.36161605443501027,0.33151928847888884,0.960638354976744,0.8806858545730191,2.1692163380335323,1.98867569103158,4.627175650829554,4.242062708821307,9.754007069738458,8.942195579867143,33.03680861429353,30.287204207611232,,,,,,,,,,,,,,
131,2010-03-16,38,3.0,20.0,6.67,18.92,6.31, UAF campus lunch run,38.65, ,0.22747329622898002,0.21518973823261509,0.6042861493855973,0.571654697318775,1.3645378422625478,1.2908527987803702,2.9107084284993783,2.753530173360412,6.135723545407303,5.804394473955308,20.781687262532493,19.65947615035574,,,,,,,,,,,,,,
132,2010-03-18,38,3.0,18.5,6.17,17.57,5.86, UAF campus afternoon run,38.67, ,0.21041279901180648,0.19983529073715892,0.5589646881816775,0.5308653822352473,1.2621975040928566,1.1987464944276482,2.6924052963619247,2.557057354436704,5.6755442795017546,5.390233134640315,19.223060717842557,18.256712260134794,,,,,,,,,,,,,,
133,2010-03-24,38,4.31,32.05,7.44,30.1,6.98, West Ridge Lunch Run,38.68, ,0.24549700257816373,0.2305603674759042,0.6521663897828761,0.6124869994528729,1.4726561567153,1.3830561721413583,3.1413366158649736,2.9502100510931584,6.621883816768881,6.2189922896955805,22.428311437193475,21.063718385632566,,,,,,,,,,,,,,
134,2010-04-01,38,3.0,19.12,6.37,18.12,6.04, UAF campus run,38.71, ,0.2174644711949049,0.2060908063834559,0.5776975588126311,0.5474832513433512,1.3044981772029958,1.2362712850898683,2.7826372576454057,2.637101836220437,5.865751709409381,5.558965532139016,19.867293022981066,18.82820865985444,,,,,,,,,,,,,,
135,2010-04-03,38,6.215,39.43,6.34,37.37,6.01, Spring Fling,38.71, 5th,0.20287636121100422,0.19227719042493602,0.5389440305738213,0.5107871778479255,1.2169888807267946,1.1534079247466473,2.595970359200884,2.4603452275763895,5.472261082619021,5.1863656266161,18.534540807830158,17.566213289084782,31.142537128431005,29.515511348959336,39.43,37.37,,,,,,,,,,
136,2010-04-10,38,3.108,18.47,5.94,17.55,5.65, Beet Beethoven,38.73, ,0.2021344771358257,0.19206605705109592,0.5369732046416694,0.5102262989421387,1.2125385610104353,1.152141404750035,2.586477340607537,2.457643601930822,5.452249961913875,5.180670645998296,18.46676316935125,17.546924397515674,,,,,,,,,,,,,,
137,2010-05-09,38,11.0,83.88,7.63,78.58,7.14, Murphy Dome Roam,38.81, ,0.2374378507871321,0.22243522073024366,0.6307571347896471,0.5909024278942593,1.4243119432286726,1.3343160765249056,3.0382131221028823,2.846242097458804,6.404501257057485,5.999829623027863,21.692037004550155,20.321414733161077,36.447898807404485,34.14491998433291,46.147192312855836,43.23135874993099,70.88449449012941,66.40562204380507,,,,,,,,
138,2010-06-19,38,6.215,41.27,6.64,38.92,6.26, Midnight Sun Run,38.92, Started with a crooked left ankle; sort of hobbling. Kept up with lead women for 2-3 miles; then slowed.,0.21234358171894865,0.20025229465717181,0.5640938407755923,0.5319731592678957,1.2737796375245958,1.2012479644404475,2.717111253467423,2.5623932635074413,5.727624014194447,5.401481139628007,19.399454708068745,18.294809237655333,32.59580287320182,30.739729775260837,41.27,38.92,,,,,,,,,,
139,2010-07-01,38,1.0,5.23,5.23,5.0,5.0, Flint Hills Mile,38.95, A distant 5th; with a pack behind me,0.1938948732734326,0.1853679476801459,0.515084576072907,0.4924326731098537,1.1631118746174518,1.1119616392136251,2.481044813768775,2.371935768421391,5.23,5.0,,,,,,,,,,,,,,,,
140,2010-07-17,38,4.972,29.5,5.93,27.98,5.63, Valkyeries,39.0, 7th.,0.19335521800989497,0.183392508471758,0.5136509739463938,0.4871848898650881,1.159874659343919,1.1001116260489103,2.4741394796038283,2.346658394553055,5.215443673777173,4.946715728552045,17.664700595078045,16.754519411874025,29.6809939803002,28.151668188772867,,,,,,,,,,,,
141,2010-07-24,39,1.0,5.25,5.25,5.0,5.0, Golden Mile,39.02, 1st place ,0.19463634506415314,0.1853679476801459,0.5170543067653464,0.4924326731098537,1.167559721174306,1.1119616392136251,2.49053255684246,2.371935768421391,5.25,5.0,,,,,,,,,,,,,,,,
